scene_source_id,scene_editor_id,quest_source_id,quest_editor_id,action_index,actor_alias_id,actor_alias_name,start_phase,end_phase,flags,timer_seconds
Glenmoril.esm:00E3EE,zzzGHMq02Sc01,Glenmoril.esm:00E3EC,zzzGHMq02,1,0,DweGear,0,0,,0.10000000149011612
Glenmoril.esm:0EF0C4,zzzLaMMq02ScEH04,Glenmoril.esm:0E9E2A,zzzLaMMq02,1,14,BossLast,0,0,,1.0
Glenmoril.esm:123315,zzzLaMMq04ScJazel2,Glenmoril.esm:11E085,zzzLaMMq04,1,8,ChickTrader,0,0,,1.0
Glenmoril.esm:00C9DC,zzzGHMq05ScJacobee,Glenmoril.esm:00C9D7,zzzGHMq05Sub02,8,0,Jacobee,5,5,,0.10000000149011612
Glenmoril.esm:60D9EB,zzzRevMq01ScTransform,Glenmoril.esm:60026B,zzzRevMq01,1,0,Boltzmer,1,1,,0.10000000149011612
Glenmoril.esm:60D9EB,zzzRevMq01ScTransform,Glenmoril.esm:60026B,zzzRevMq01,3,0,Boltzmer,3,3,,0.009999999776482582
Glenmoril.esm:60D9EB,zzzRevMq01ScTransform,Glenmoril.esm:60026B,zzzRevMq01,6,0,Boltzmer,6,6,,0.009999999776482582
Glenmoril.esm:480709,zzzLrhqItheliaCall02Sc01,Glenmoril.esm:4806FD,zzzLrhqItheliaCall02,5,0,Jazel,5,5,,3.0
Glenmoril.esm:480709,zzzLrhqItheliaCall02Sc01,Glenmoril.esm:4806FD,zzzLrhqItheliaCall02,6,0,Jazel,4,4,,0.5
Glenmoril.esm:480709,zzzLrhqItheliaCall02Sc01,Glenmoril.esm:4806FD,zzzLrhqItheliaCall02,7,0,Jazel,6,6,,1.0
Glenmoril.esm:137C03,zzzLaMMq05ScJazel02,Glenmoril.esm:1329BD,zzzLaMMq05,1,6,ChickTrader,0,0,,1.5
Glenmoril.esm:009CCB,zzzGHMq01Sc06,Glenmoril.esm:009B59,zzzGHMq01,3,5,Ozwald,1,1,,2.0
Glenmoril.esm:51BE1A,zzzRevSub04Sc02,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,1,1,,1.5
Glenmoril.esm:009B91,zzzGHMq01SideASc02,Glenmoril.esm:009B83,zzzGHMq01SideA,4,0,Chaplain,2,2,,3.0
Glenmoril.esm:00862C,zzzLrhMq09sc03,Glenmoril.esm:0085BD,zzzLrhMq09,5,1,Lalanoah,1,1,,0.10000000149011612
Glenmoril.esm:009C97,zzzGHMq01Sc04,Glenmoril.esm:009B59,zzzGHMq01,7,10,Felix,0,0,,1.0
Glenmoril.esm:016389,zzzRevSub01KingSc,Glenmoril.esm:015B58,zzzRevSub01,1,3,Boss02,0,0,,0.10000000149011612
Glenmoril.esm:00E447,zzzGHMq02Sc03Plan,Glenmoril.esm:00E3EC,zzzGHMq02,3,1,Romion,0,0,,1.0
Glenmoril.esm:009CF5,zzzGHMq01Sc07,Glenmoril.esm:009B59,zzzGHMq01,21,5,Ozwald,0,0,,2.0
Glenmoril.esm:0146C3,zzzGHSkit04Sc01,Glenmoril.esm:0146C0,zzzGHSkit04,14,0,D8284,8,8,,10.0
Glenmoril.esm:012C8E,zzzGHMq03BOSc01,Glenmoril.esm:012C8D,zzzGHMq03BO,1,0,Owl,0,0,,1.0
Glenmoril.esm:012A33,zzzGHMq03S01ScEnd,Glenmoril.esm:012962,zzzGHMq03Sub01,16,0,Brandt,0,0,,1.5
Glenmoril.esm:30EF84,zzzRevBq03Sc01,Glenmoril.esm:30EF7D,zzzRevBossQuest03,1,0,Shaman,0,0,,0.5
Glenmoril.esm:0E9E6E,zzzLaMMq02ScEH01,Glenmoril.esm:0E9E2A,zzzLaMMq02,1,6,TA01,0,0,,1.0
Glenmoril.esm:36C623,zzzRevBQ05Sc01,Glenmoril.esm:36C620,zzzRevBossQuest05,2,0,BeastESS,1,1,,12.0
Glenmoril.esm:36C623,zzzRevBQ05Sc01,Glenmoril.esm:36C620,zzzRevBossQuest05,4,0,BeastESS,0,0,,5.0
Glenmoril.esm:349885,zzzRevSub03Sc01,Glenmoril.esm:34980C,zzzRevSub03,1,0,Vigilant,0,0,,0.5
Glenmoril.esm:008478,zzzLrhMq08sc03,Glenmoril.esm:008431,zzzLrhMq08,5,0,Brandt,1,1,,1.0
Glenmoril.esm:0EF0B7,zzzLaMMq02ScEH03,Glenmoril.esm:0E9E2A,zzzLaMMq02,3,12,TA03,0,0,,1.0
Glenmoril.esm:6288C2,zzzLrhSqRRScEnd,Glenmoril.esm:614517,zzzLrhSqRoadRoller,2,0,Monk,2,2,,0.10000000149011612
Glenmoril.esm:6288C2,zzzLrhSqRRScEnd,Glenmoril.esm:614517,zzzLrhSqRoadRoller,6,0,Monk,1,1,,3.0
Glenmoril.esm:6288C2,zzzLrhSqRRScEnd,Glenmoril.esm:614517,zzzLrhSqRoadRoller,7,0,Monk,0,0,,0.10000000149011612
Glenmoril.esm:0148D0,zzzGHMq04ScChaplain,Glenmoril.esm:0147BD,zzzGHMq04,3,4,Chaplain,2,2,,3.0
Glenmoril.esm:0171C6,zzzGHMq05Sc01,Glenmoril.esm:01719C,zzzGHMq05,1,1,Romion,0,0,,1.0
Glenmoril.esm:0171C6,zzzGHMq05Sc01,Glenmoril.esm:01719C,zzzGHMq05,3,1,Romion,1,1,,2.0
Glenmoril.esm:0147FE,zzzGHMq04ScCedric02,Glenmoril.esm:0147BD,zzzGHMq04,1,2,Ozwald,0,0,,1.0
Glenmoril.esm:11E087,zzzLaMMq04ScBrandt,Glenmoril.esm:11E085,zzzLaMMq04,1,4,Brandt,0,0,,1.0
Glenmoril.esm:11E08E,zzzLaMMq04ScMutant,Glenmoril.esm:11E085,zzzLaMMq04,1,6,Boss,0,0,,1.0
Glenmoril.esm:009C87,zzzGHMq01Sc03,Glenmoril.esm:009B59,zzzGHMq01,1,9,Gerhard,0,0,,5.0
Glenmoril.esm:0151E1,zzzGHMq04ScSkipToBriefing,Glenmoril.esm:0147BD,zzzGHMq04,1,1,Romion,0,0,,1.0
Glenmoril.esm:2033EB,zzzRevBq02Sc01,Glenmoril.esm:1F73E6,zzzRevBossQuest02,1,1,Shaman,0,0,,1.0
Glenmoril.esm:0F4309,zzzLaMMq02ScMutant,Glenmoril.esm:0E9E2A,zzzLaMMq02,4,17,Mutant,2,2,,5.0
Glenmoril.esm:0F4309,zzzLaMMq02ScMutant,Glenmoril.esm:0E9E2A,zzzLaMMq02,5,17,Mutant,3,3,,12.0
Glenmoril.esm:0F4309,zzzLaMMq02ScMutant,Glenmoril.esm:0E9E2A,zzzLaMMq02,8,17,Mutant,0,0,,1.0
Glenmoril.esm:0CB231,zzzLaMMq01ScSA05,Glenmoril.esm:0B1758,zzzLaMMq01,1,9,SABoss01,0,0,,1.0
Glenmoril.esm:0077BC,zzzLrhMq01Sc03,Glenmoril.esm:007733,zzzLrhMq01,10,0,Lalanoah,0,0,,30.0
Glenmoril.esm:0086E1,zzzLrhMq10sc04,Glenmoril.esm:008685,zzzLrhMq10,8,4,Skoll,2,2,,2.0
Glenmoril.esm:3B7829,zzzRevCqRobinSc01,Glenmoril.esm:3B7828,zzzRevCqRobin,1,0,Thief,0,0,,0.5
Glenmoril.esm:5EC030,zzzRevSqChSc01,Glenmoril.esm:5D7AD9,zzzRevSqCheese,1,0,Sheo,1,1,,0.5
Glenmoril.esm:360C21,zzzRevCqAishaSc02,Glenmoril.esm:360BD2,zzzRevCqAisha,1,0,Aisya,0,0,,1.0
Glenmoril.esm:0149CA,zzzGHMq04BOSc01,Glenmoril.esm:0149C9,zzzGHMq04BO,1,0,Owl,0,0,,2.0
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,4,4,TA01,1,1,,1.0
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,8,4,TA01,3,3,,2.5
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,9,5,TA02,5,5,,2.5
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,10,6,TA03,7,7,,2.5
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,11,0,Jazel,10,10,,2.5
Glenmoril.esm:4863FD,zzzLaMMqAltSc01,Glenmoril.esm:4863FC,zzzLaMMqAlt,13,0,Jazel,12,12,,3.0
Glenmoril.esm:360C12,zzzRevCqAishaSc01,Glenmoril.esm:360BD2,zzzRevCqAisha,1,0,Aisya,0,0,,1.0
Glenmoril.esm:00C98C,zzzGHMq05ScJazelMad,Glenmoril.esm:00C946,zzzGHMq05Sub01,1,4,JazelMad,0,0,,1.0
Glenmoril.esm:00C969,zzzGHMq05ScJazelBoy,Glenmoril.esm:00C946,zzzGHMq05Sub01,1,3,JazelBoy,0,0,,1.0
Glenmoril.esm:00C961,zzzGHMq05ScJazelChild,Glenmoril.esm:00C946,zzzGHMq05Sub01,4,2,JazelChild,0,0,,1.0
Glenmoril.esm:51BE21,zzzRevSub04Sc03,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,1,1,,0.5
Glenmoril.esm:15254E,zzzLaMMq05ScCheckLeave,Glenmoril.esm:1329BD,zzzLaMMq05,1,22,Jazel,0,0,,1.0
Glenmoril.esm:51BE36,zzzRevSub04Sc06,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,1,1,,0.5
Glenmoril.esm:2EBCC1,zzzRevBq01Sc01,Glenmoril.esm:1F73CC,zzzRevBossQuest01,1,1,Shaman,0,0,,1.5
Glenmoril.esm:008656,zzzLrhMq09Sc04,Glenmoril.esm:0085BD,zzzLrhMq09,5,1,Lalanoah,1,1,,0.10000000149011612
Glenmoril.esm:008656,zzzLrhMq09Sc04,Glenmoril.esm:0085BD,zzzLrhMq09,7,1,Lalanoah,3,3,,0.10000000149011612
Glenmoril.esm:014B53,zzzGHMq05Sub05Sc01,Glenmoril.esm:014B4A,zzzGHMq05Sub05,1,0,Black,0,0,,0.10000000149011612
Glenmoril.esm:0124B2,zzzGHMq03ScMedical,Glenmoril.esm:01230D,zzzGHMq03,12,0,DweGear,0,0,,1.0
Glenmoril.esm:11E090,zzzLaMMq04ScFlyAway,Glenmoril.esm:11E085,zzzLaMMq04,2,6,Boss,0,0,,20.0
Glenmoril.esm:38F152,zzzRevBqAhzidalSc01,Glenmoril.esm:38F141,zzzRevBossQuestAhzidal,1,0,Boss01,0,0,,1.0
Glenmoril.esm:00785C,zzzLrhMq01Sc04,Glenmoril.esm:007733,zzzLrhMq01,1,1,Brandt,0,0,,1.0
Glenmoril.esm:3D45E1,zzzRevCqPedlarSc01,Glenmoril.esm:3D45DE,zzzRevCqPedlar,2,0,Pedlar,0,0,,0.10000000149011612
Glenmoril.esm:5F9748,zzzRevSub05IntroSc02,Glenmoril.esm:5F2B94,zzzRevSub05Intro,1,0,Hamah,1,1,,0.10000000149011612
Glenmoril.esm:017260,zzzGHMq05ScChaplain,Glenmoril.esm:01719C,zzzGHMq05,3,15,Chaplain,2,2,,3.0
Glenmoril.esm:092BC1,zzzLRHrqKanraRescueSc02,Glenmoril.esm:092BBC,zzzLRHrqKanraRescue,1,3,Target,0,0,,1.0
Glenmoril.esm:108E38,zzzLaMMq03ScGoDeck,Glenmoril.esm:103B86,zzzLaMMq03,1,4,ThalmorTA,0,0,,1.0
Glenmoril.esm:00790E,zzzLrhMq03Sc01,Glenmoril.esm:00790A,zzzLrhMq03,18,0,Lalanoah,1,1,,3.0
Glenmoril.esm:014A43,zzzGHMq05Sub03Sc01,Glenmoril.esm:014A42,zzzGHMq05Sub03,1,1,Boy,0,0,,0.10000000149011612
Glenmoril.esm:00E943,zzzGHMq02ScChap,Glenmoril.esm:00E3EC,zzzGHMq02,1,4,Chaplain,0,0,,0.5
Glenmoril.esm:00E943,zzzGHMq02ScChap,Glenmoril.esm:00E3EC,zzzGHMq02,4,4,Chaplain,3,3,,3.0
Glenmoril.esm:17115B,zzzRevMq00ScSail,Glenmoril.esm:171135,zzzRevMq00,6,0,BO,2,2,,0.10000000149011612
Glenmoril.esm:17115B,zzzRevMq00ScSail,Glenmoril.esm:171135,zzzRevMq00,7,0,BO,5,5,,0.10000000149011612
Glenmoril.esm:17115B,zzzRevMq00ScSail,Glenmoril.esm:171135,zzzRevMq00,8,0,BO,8,8,,0.10000000149011612
Glenmoril.esm:17115B,zzzRevMq00ScSail,Glenmoril.esm:171135,zzzRevMq00,9,0,BO,11,11,,0.10000000149011612
Glenmoril.esm:614538,zzzLrhSqRRScBegin,Glenmoril.esm:614517,zzzLrhSqRoadRoller,1,0,Monk,1,1,,1.0
Glenmoril.esm:132A05,zzzLaMMq05ScJazel01,Glenmoril.esm:1329BD,zzzLaMMq05,1,5,TA01,0,0,,1.5
Glenmoril.esm:3B1BC8,zzzRevCqRuddymanSc01,Glenmoril.esm:3B1B6D,zzzRevCqRuddyman,1,0,RuddyMan,0,0,,1.0
Glenmoril.esm:1329E4,zzzLaMMq05ScCedricWait,Glenmoril.esm:1329BD,zzzLaMMq05,1,1,Cedric,0,0,,1.0
Glenmoril.esm:008704,zzzLrhMq10scLalaBlock,Glenmoril.esm:008685,zzzLrhMq10,2,2,Lalanoah,0,0,,10.0
Glenmoril.esm:009B84,zzzGHMq01SideASc01,Glenmoril.esm:009B83,zzzGHMq01SideA,4,0,Chaplain,2,2,,3.0
Glenmoril.esm:009CB1,zzzGHMq01Sc05,Glenmoril.esm:009B59,zzzGHMq01,1,18,FelixTA,0,0,,2.0
Glenmoril.esm:103B87,zzzLaMMq03ScStart,Glenmoril.esm:103B86,zzzLaMMq03,1,0,Romion,0,0,,1.0
Glenmoril.esm:58DF2C,zzzRevCqLeaperSc05,Glenmoril.esm:5872E4,zzzRevCqLeaper,3,0,Leaper,1,1,,0.5
Glenmoril.esm:360BA2,zzzRevCqScabSc01,Glenmoril.esm:35AF3D,zzzRevCqScab,1,0,Scab,0,0,,1.0
Glenmoril.esm:51BE28,zzzRevSub04Sc04,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,1,1,,0.5
Glenmoril.esm:474F13,zzzLrhTorvesardSc01,Glenmoril.esm:474F0F,zzzLrhQTorvesardContact,2,0,Torvesard,1,1,,1.0
Glenmoril.esm:51BE2F,zzzRevSub04Sc05,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,1,1,,0.5
Glenmoril.esm:5F96F0,zzzRevSub05IntroSc01,Glenmoril.esm:5F2B94,zzzRevSub05Intro,1,0,Hamah,1,1,,0.05000000074505806
Glenmoril.esm:008445,zzzLrhMq08sc02,Glenmoril.esm:008431,zzzLrhMq08,2,0,Brandt,0,0,,5.0
Glenmoril.esm:51BE0D,zzzRevSub04Sc01,Glenmoril.esm:51525D,zzzRevSub04,1,2,JazelGhost,2,2,,0.5
Glenmoril.esm:530007,zzzRevSub04ScHeadPhone,Glenmoril.esm:51525D,zzzRevSub04,1,7,TovesardTA,0,0,,4.0
Glenmoril.esm:53000A,zzzRevSub04ScTv01,Glenmoril.esm:51525D,zzzRevSub04,1,4,Tovesard,1,1,,0.20000000298023224
Glenmoril.esm:53000A,zzzRevSub04ScTv01,Glenmoril.esm:51525D,zzzRevSub04,7,4,Tovesard,4,4,,4.099999904632568
Glenmoril.esm:53000A,zzzRevSub04ScTv01,Glenmoril.esm:51525D,zzzRevSub04,12,4,Tovesard,5,5,,3.0
Glenmoril.esm:53000A,zzzRevSub04ScTv01,Glenmoril.esm:51525D,zzzRevSub04,14,4,Tovesard,7,7,,0.5
Glenmoril.esm:01776F,zzzGHMq06ScGetInAirship,Glenmoril.esm:017733,zzzGHMq06,1,7,Romion,0,0,,1.0
Glenmoril.esm:017655,zzzGHMq05Sub06Sc01,Glenmoril.esm:017654,zzzGHMq05Sub06,1,0,Owl,0,0,,1.0
Glenmoril.esm:5EC063,zzzRevSqChScEnd02,Glenmoril.esm:5D7AD9,zzzRevSqCheese,1,0,Sheo,1,1,,0.10000000149011612
Glenmoril.esm:012479,zzzGHMq03ScBotvid02,Glenmoril.esm:01230D,zzzGHMq03,1,19,Wraith02TA,0,0,,0.10000000149011612
Glenmoril.esm:58DFAF,zzzRevCqLeaperScBoss,Glenmoril.esm:5872E4,zzzRevCqLeaper,1,3,Boss,1,1,,0.5
Glenmoril.esm:5EC056,zzzRevSqChScEnd01,Glenmoril.esm:5D7AD9,zzzRevSqCheese,1,0,Sheo,1,1,,0.10000000149011612
Glenmoril.esm:008793,zzzLrhMq10sc07,Glenmoril.esm:008685,zzzLrhMq10,1,2,Lalanoah,0,0,,1.0
Glenmoril.esm:008705,zzzLrhMq10Sc05,Glenmoril.esm:008685,zzzLrhMq10,11,1,Brandt,0,0,,1.0
Glenmoril.esm:0177CA,zzzGHMq06ScPlan,Glenmoril.esm:017733,zzzGHMq06,1,4,Ozwald,0,0,,0.10000000149011612
Glenmoril.esm:171173,zzzLaMMq05ScLastChase,Glenmoril.esm:1329BD,zzzLaMMq05,1,22,Jazel,0,0,,1.0
Glenmoril.esm:37224C,zzzRevBq03Sc02,Glenmoril.esm:30EF7D,zzzRevBossQuest03,1,3,Chaplain,0,0,,1.0
Glenmoril.esm:00C957,zzzGHMq05ScChicks,Glenmoril.esm:00C946,zzzGHMq05Sub01,9,0,ChildOzwald,0,0,,1.0
Glenmoril.esm:5EBFE3,zzzRevSqChScStart,Glenmoril.esm:5D7AD9,zzzRevSqCheese,1,0,Sheo,1,1,,0.10000000149011612
Glenmoril.esm:108E9E,zzzLaMMq03ScTime02,Glenmoril.esm:103B86,zzzLaMMq03,2,16,Ally01,0,0,,10.0
Glenmoril.esm:014DF0,zzzGHEndOwlScDrag,Glenmoril.esm:014DDD,zzzGHEndingOwl,6,1,JhunalTA,1,1,,2.0
Glenmoril.esm:014DF0,zzzGHEndOwlScDrag,Glenmoril.esm:014DDD,zzzGHEndingOwl,7,1,JhunalTA,3,3,,2.0
Glenmoril.esm:014DF0,zzzGHEndOwlScDrag,Glenmoril.esm:014DDD,zzzGHEndingOwl,8,1,JhunalTA,5,5,,2.0
Glenmoril.esm:014DF0,zzzGHEndOwlScDrag,Glenmoril.esm:014DDD,zzzGHEndingOwl,9,1,JhunalTA,7,7,,2.0
Glenmoril.esm:014DF0,zzzGHEndOwlScDrag,Glenmoril.esm:014DDD,zzzGHEndingOwl,10,1,JhunalTA,8,8,,2.0
Glenmoril.esm:14D20D,zzzLaMMq05ScJazel06,Glenmoril.esm:1329BD,zzzLaMMq05,5,10,TA05,0,0,,10.0
Glenmoril.esm:014AFB,zzzGHMq05Sub04Sc01,Glenmoril.esm:014AFA,zzzGHMq05Sub04,1,0,Yelem,0,0,,1.0
Glenmoril.esm:11E0F4,zzzLaMMq04ScOzHello,Glenmoril.esm:11E085,zzzLaMMq04,1,11,Ozwald,0,0,,1.0
Glenmoril.esm:009C77,zzzGHMq01Sc02,Glenmoril.esm:009B59,zzzGHMq01,1,7,Jazel,0,0,,10.0
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,11,1,Lalanoah,4,4,,0.10000000149011612
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,13,1,Lalanoah,6,6,,1.0
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,17,1,Lalanoah,8,8,,0.10000000149011612
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,19,1,Lalanoah,10,10,,1.0
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,24,1,Lalanoah,12,12,,0.10000000149011612
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,26,1,Lalanoah,14,14,,1.0
Glenmoril.esm:008605,zzzLrhMq09sc02,Glenmoril.esm:0085BD,zzzLrhMq09,31,1,Lalanoah,16,16,,0.10000000149011612
Glenmoril.esm:3D45AE,zzzRevBqDagothSc01,Glenmoril.esm:3CE9E4,zzzRevBossQuestDagoth,1,0,Boss01,1,1,,0.10000000149011612
Glenmoril.esm:008488,zzzLrhMq08ScFeathers,Glenmoril.esm:008431,zzzLrhMq08,3,0,Brandt,2,2,,1.0
Glenmoril.esm:008488,zzzLrhMq08ScFeathers,Glenmoril.esm:008431,zzzLrhMq08,5,0,Brandt,0,0,,1.0
Glenmoril.esm:1329BF,zzzLaMMq05ScBO01,Glenmoril.esm:1329BD,zzzLaMMq05,1,0,BO,0,0,,1.0
Glenmoril.esm:02C267,zzzGHmq06Sub01ScWait,Glenmoril.esm:02C265,zzzGHmq06Sub01,1,1,Lalanoah,0,0,,5.0
Glenmoril.esm:600278,zzzRevMq01Sc01,Glenmoril.esm:60026B,zzzRevMq01,4,0,Boltzmer,1,1,,0.009999999776482582
Glenmoril.esm:01243A,zzzGHMq03ScChaplain,Glenmoril.esm:01230D,zzzGHMq03,3,16,Chaplain,2,2,,3.0
Glenmoril.esm:14D216,zzzLaMMq05ScJazel07,Glenmoril.esm:1329BD,zzzLaMMq05,4,11,TA06,0,0,,0.10000000149011612
Glenmoril.esm:3B1BDD,zzzRevCqRuddymanSc02,Glenmoril.esm:3B1B6D,zzzRevCqRuddyman,1,2,Boss,0,0,,1.0
Glenmoril.esm:58DF5E,zzzRevCqLeaperSc06,Glenmoril.esm:5872E4,zzzRevCqLeaper,3,0,Leaper,1,1,,0.5
Glenmoril.esm:2EBCC2,zzzRevBq01Sc02,Glenmoril.esm:1F73CC,zzzRevBossQuest01,1,0,Boss01,0,0,,1.0
Glenmoril.esm:51BE67,zzzRevSub04ScD4C,Glenmoril.esm:51525D,zzzRevSub04,5,2,JazelGhost,3,3,,0.0010000000474974513
Glenmoril.esm:5F96C7,zzzRevSub05IntroScBegin,Glenmoril.esm:5F2B94,zzzRevSub05Intro,1,0,Hamah,1,1,,0.10000000149011612
Glenmoril.esm:108E9B,zzzLaMMq03ScTime01,Glenmoril.esm:103B86,zzzLaMMq03,2,16,Ally01,0,0,,15.0
Glenmoril.esm:009B93,zzzGHMq01SideASc04,Glenmoril.esm:009B83,zzzGHMq01SideA,4,0,Chaplain,2,2,,3.0
